gene_id,component,class
PF3D7_0211300,mitochondrion,Mitochondrion & related
PF3D7_0211400,unknown,Unknown
PF3D7_0211500,mitochondrion,Mitochondrion & related
PF3D7_0211600,UDP-N-acetylglucosamine transferase complex,Intracellular protein complexes (internal)
PF3D7_0211700,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0211800,mitochondrion,Mitochondrion & related
PF3D7_0211900,unknown,Unknown
PF3D7_0212000,Golgi apparatus,Endomembrane System & Golgi ER
PF3D7_0212100,unknown,Unknown
PF3D7_0212200,unknown,Unknown
PF3D7_0212300,"cytosol,translation release factor complex","Cytoplasm & Cytosol (internal),Ribosome & translation complexes (internal)"
PF3D7_0212400,unknown,Unknown
PF3D7_0212500,unknown,Unknown
PF3D7_0212600,apicoplast,Apicoplast
PF3D7_0212700,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0212800,membrane,Membrane (general)
PF3D7_0212900,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0213000,unknown,Unknown
PF3D7_0213100,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0213200,unknown,Unknown
PF3D7_0213300,unknown,Unknown
PF3D7_0213400,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0213500,unknown,Unknown
PF3D7_0213600,"cytoplasm,intracellular membrane-bounded organelle,vesicle","Cytoplasm & Cytosol (internal),Internal organelle (internal),Vesicles & Endosomes"
PF3D7_0213700,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0213800,unknown,Unknown
PF3D7_0213900,unknown,Unknown
PF3D7_0214000,chaperonin-containing T-complex,Intracellular protein complexes (internal)
PF3D7_0214100,"COPII vesicle coat,endoplasmic reticulum exit site","Endomembrane System & Golgi ER,Vesicles & Endosomes"
PF3D7_0214200,"mitochondrial large ribosomal subunit,ribosome","Mitochondrion & related,Ribosome & translation complexes (internal)"
PF3D7_0214300,unknown,Unknown
PF3D7_0214400,"cytosol,nucleus,preribosome small subunit precursor","Cytoplasm & Cytosol (internal),Nucleus (internal),Ribosome & translation complexes (internal)"
PF3D7_0214500,unknown,Unknown
PF3D7_0214600,unknown,Unknown
PF3D7_0214700,unknown,Unknown
PF3D7_0214800,apicoplast,Apicoplast
PF3D7_0214900,apicoplast,Apicoplast
PF3D7_0215000,"apicoplast,endoplasmic reticulum,membrane","Apicoplast,Endomembrane System & Golgi ER,Membrane (general)"
PF3D7_0215100,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0215200,unknown,Unknown
PF3D7_0215300,"apicoplast,endoplasmic reticulum,membrane","Apicoplast,Endomembrane System & Golgi ER,Membrane (general)"
PF3D7_0215400,unknown,Unknown
PF3D7_0215500,unknown,Unknown
PF3D7_0215600,unknown,Unknown
PF3D7_0215700,RNA polymerase II core complex,Spliceosomal & RNP complexes (internal)
PF3D7_0215800,nuclear origin of replication recognition complex,Intracellular protein complexes (internal)
PF3D7_0215900,"Golgi apparatus,apicoplast,endoplasmic reticulum","Apicoplast,Endomembrane System & Golgi ER"
PF3D7_0216000,"chromatin,nucleus","Chromatin,Nucleus (internal)"
PF3D7_0216100,unknown,Unknown
PF3D7_0216200,unknown,Unknown
PF3D7_0216300,nucleus,Nucleus (internal)
PF3D7_0216400,Golgi membrane,Endomembrane System & Golgi ER
PF3D7_0216500,unknown,Unknown
PF3D7_0216600,membrane,Membrane (general)
PF3D7_0216700,unknown,Unknown
PF3D7_0216800,extracellular space,Extracellular/Secreted
PF3D7_0216900,unknown,Unknown
PF3D7_0217000,unknown,Unknown
PF3D7_0217100,proton-transporting ATP synthase complex catalytic core F(1),Mitochondrion & related
PF3D7_0217200,unknown,Unknown
PF3D7_0217300,intracellular membrane-bounded organelle,Internal organelle (internal)
PF3D7_0217400,unknown,Unknown
PF3D7_0217500,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0217600,transcription factor TFIIIB complex,Intracellular protein complexes (internal)
PF3D7_0217700,nucleus,Nucleus (internal)
PF3D7_0217800,cytosolic small ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0217900,unknown,Unknown
PF3D7_0218000,"DNA replication factor C complex,nucleus","DNA replication & repair complexes (internal),Nucleus (internal)"
PF3D7_0218100,unknown,Unknown
PF3D7_0218200,apicoplast,Apicoplast
PF3D7_0218300,apicoplast,Apicoplast
PF3D7_0218400,unknown,Unknown
PF3D7_0218500,"U1 snRNP,U2 snRNP,U4/U6 x U5 tri-snRNP complex,U5 snRNP,catalytic step 2 spliceosome,pICln-Sm protein complex,precatalytic spliceosome",Spliceosomal & RNP complexes (internal)
PF3D7_0218600,"cytoplasm,lipid droplet,membrane","Cytoplasm & Cytosol (internal),Membrane (general)"
PF3D7_0218700,unknown,Unknown
PF3D7_0219100,lipid droplet,Cytoplasm & Cytosol (internal)
PF3D7_0219200,cytosolic small ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0219300,unknown,Unknown
PF3D7_0219400,endoplasmic reticulum,Endomembrane System & Golgi ER
PF3D7_0219500,apicoplast,Apicoplast
PF3D7_0219600,nucleus,Nucleus (internal)
PF3D7_0219700,apicoplast,Apicoplast
PF3D7_0219800,unknown,Unknown
PF3D7_0219900,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0220000,apicoplast,Apicoplast
PF3D7_0220100,"RBC membrane (HT),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0220200,"RBC membrane (HT),RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0220300,"RBC membrane (HT),RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0220500,apicoplast,Apicoplast
PF3D7_0220600,"RBC membrane (HT),RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0220700,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_0220800,unknown,Unknown
PF3D7_0221000,unknown,Unknown
PF3D7_0221200,unknown,Unknown
PF3D7_0221400,apicoplast,Apicoplast
PF3D7_0301000,"endoplasmic reticulum,membrane","Endomembrane System & Golgi ER,Membrane (general)"
PF3D7_0301100,"RBC membrane (HT),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0301200,unknown,Unknown
PF3D7_0301300,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_0301400,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0301500,"RBC membrane (HT),RBC membrane (PEXEL)",Membrane proteins (PEXEL/HT)
PF3D7_0301600,"RBC membrane (HT),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0301700,"RBC membrane (PEXEL),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0301800,RBC membrane (PEXEL),Membrane proteins (PEXEL/HT)
PF3D7_0301900,unknown,Unknown
PF3D7_0302000,"Prp19 complex,catalytic step 2 spliceosome","Intracellular protein complexes (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_0302100,unknown,Unknown
PF3D7_0302200,unknown,Unknown
PF3D7_0302500,unknown,Unknown
PF3D7_0302600,"apicoplast,mitochondrial inner membrane","Apicoplast,Mitochondrion & related"
PF3D7_0302700,unknown,Unknown
PF3D7_0302800,unknown,Unknown
PF3D7_0302900,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0303000,Golgi stack,Endomembrane System & Golgi ER
PF3D7_0303100,nucleus,Nucleus (internal)
PF3D7_0303200,unknown,Unknown
PF3D7_0303300,"RNA polymerase I complex,RNA polymerase II core complex,RNA polymerase III complex",Spliceosomal & RNP complexes (internal)
PF3D7_0303400,unknown,Unknown
PF3D7_0303500,gamma-tubulin complex,Cytoskeleton & associated
PF3D7_0303600,nucleus,Nucleus (internal)
PF3D7_0303700,"cytoplasm,mitochondrion","Cytoplasm & Cytosol (internal),Mitochondrion & related"
PF3D7_0303800,"cytoplasm,ubiquitin ligase complex","Cytoplasm & Cytosol (internal),Ubiquitin & proteasome complexes (internal)"
PF3D7_0303900,unknown,Unknown
PF3D7_0304000,unknown,Unknown
PF3D7_0304100,unknown,Unknown
PF3D7_0304200,"cytoplasm,plasma membrane","Cytoplasm & Cytosol (internal),Membrane proteins"
PF3D7_0304300,unknown,Unknown
PF3D7_0304400,cytosolic large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0304500,unknown,Unknown
PF3D7_0304600,apicoplast,Apicoplast
PF3D7_0304700,apicoplast,Apicoplast
PF3D7_0304800,unknown,Unknown
PF3D7_0304900,unknown,Unknown
PF3D7_0305000,apicoplast,Apicoplast
PF3D7_0305100,unknown,Unknown
PF3D7_0305200,unknown,Unknown
PF3D7_0305300,histone acetyltransferase complex,Spliceosomal & RNP complexes (internal)
PF3D7_0305400,apicoplast,Apicoplast
PF3D7_0305500,"endosome,trans-Golgi network","Endomembrane System & Golgi ER,Vesicles & Endosomes"
PF3D7_0305600,nucleus,Nucleus (internal)
PF3D7_0305700,"nucleus,ubiquitin conjugating enzyme complex","Nucleus (internal),Ubiquitin & proteasome complexes (internal)"
PF3D7_0305800,"cytoplasm,cytosol",Cytoplasm & Cytosol (internal)
PF3D7_0305900,unknown,Unknown
PF3D7_0306000,unknown,Unknown
PF3D7_0306100,unknown,Unknown
PF3D7_0306200,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0306300,unknown,Unknown
PF3D7_0306400,mitochondrion,Mitochondrion & related
PF3D7_0306500,unknown,Unknown
PF3D7_0306600,unknown,Unknown
PF3D7_0306700,unknown,Unknown
PF3D7_0306800,chaperonin-containing T-complex,Intracellular protein complexes (internal)
PF3D7_0306900,"cytosolic small ribosomal subunit,ribosome",Ribosome & translation complexes (internal)
PF3D7_0307100,unknown,Unknown
PF3D7_0307200,cytosolic large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0307300,"cytoplasmic microtubule,microtubule organizing center,microtubule plus-end,spindle midzone",Cytoskeleton & associated
PF3D7_0307400,"apicoplast,cytoplasm,endopeptidase Clp complex","Apicoplast,Cytoplasm & Cytosol (internal),Ubiquitin & proteasome complexes (internal)"
PF3D7_0307500,"outer kinetochore,spindle microtubule","Chromatin,Cytoskeleton & associated"
PF3D7_0307600,unknown,Unknown
PF3D7_0307700,unknown,Unknown
PF3D7_0307800,apicoplast,Apicoplast
PF3D7_0307900,unknown,Unknown
PF3D7_0308000,delta DNA polymerase complex,DNA replication & repair complexes (internal)
PF3D7_0308100,unknown,Unknown
PF3D7_0308200,chaperonin-containing T-complex,Intracellular protein complexes (internal)
PF3D7_0308300,unknown,Unknown
PF3D7_0308500,unknown,Unknown
PF3D7_0308600,"Prp19 complex,U2-type catalytic step 1 spliceosome,cytoplasm","Cytoplasm & Cytosol (internal),Intracellular protein complexes (internal),Spliceosomal & RNP complexes (internal)"
PF3D7_0308700,unknown,Unknown
PF3D7_0308800,unknown,Unknown
PF3D7_0308900,"U2 snRNP,U2-type prespliceosome,catalytic step 2 spliceosome",Spliceosomal & RNP complexes (internal)
PF3D7_0309000,unknown,Unknown
PF3D7_0309100,unknown,Unknown
PF3D7_0309200,"chromosome passenger complex,nucleus,spindle microtubule,spindle midzone","Chromatin,Cytoskeleton & associated,Nucleus (internal)"
PF3D7_0309300,unknown,Unknown
PF3D7_0309500,cytosol,Cytoplasm & Cytosol (internal)
PF3D7_0309600,unknown,Unknown
PF3D7_0309700,"mitochondrion,ribonucleoprotein complex","Mitochondrion & related,Spliceosomal & RNP complexes (internal)"
PF3D7_0309800,unknown,Unknown
PF3D7_0309900,unknown,Unknown
PF3D7_0310000,"apicoplast,mitochondrion","Apicoplast,Mitochondrion & related"
PF3D7_0310100,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0310200,unknown,Unknown
PF3D7_0310300,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0310400,"RBC membrane (HT),apicoplast","Apicoplast,Membrane proteins (PEXEL/HT)"
PF3D7_0310500,nucleus,Nucleus (internal)
PF3D7_0310600,eukaryotic translation initiation factor 3 complex,Ribosome & translation complexes (internal)
PF3D7_0310700,TRAPP complex,Intracellular protein complexes (internal)
PF3D7_0310800,apicoplast,Apicoplast
PF3D7_0310900,unknown,Unknown
PF3D7_0311000,unknown,Unknown
PF3D7_0311100,spliceosomal complex,Spliceosomal & RNP complexes (internal)
PF3D7_0311200,"apicoplast,cytosol","Apicoplast,Cytoplasm & Cytosol (internal)"
PF3D7_0311300,unknown,Unknown
PF3D7_0311400,nucleus,Nucleus (internal)
PF3D7_0311500,unknown,Unknown
PF3D7_0311600,oligosaccharyltransferase complex,Intracellular protein complexes (internal)
PF3D7_0311700,lysosome,Vacuole/Lysosome & related
PF3D7_0311800,unknown,Unknown
PF3D7_0311900,"mitochondrial matrix,ribonucleoprotein granule","Intracellular protein complexes (internal),Mitochondrion & related"
PF3D7_0312000,unknown,Unknown
PF3D7_0312100,"apicoplast,endomembrane system","Apicoplast,Endomembrane System & Golgi ER"
PF3D7_0312200,"TRC complex,membrane","Intracellular protein complexes (internal),Membrane (general)"
PF3D7_0312300,"nucleus,proteasome regulatory particle lid subcomplex","Nucleus (internal),Ubiquitin & proteasome complexes (internal)"
PF3D7_0312400,"cytoplasm,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0312500,unknown,Unknown
PF3D7_0312800,cytosolic large ribosomal subunit,Ribosome & translation complexes (internal)
PF3D7_0312900,unknown,Unknown
PF3D7_0313000,unknown,Unknown
PF3D7_0313100,endoplasmic reticulum membrane,Endomembrane System & Golgi ER
PF3D7_0313200,RBC membrane (HT),Membrane proteins (PEXEL/HT)
PF3D7_0313300,unknown,Unknown
PF3D7_0313400,unknown,Unknown
PF3D7_0313500,unknown,Unknown
PF3D7_0313600,unknown,Unknown
PF3D7_0313700,unknown,Unknown
PF3D7_0313800,apicoplast,Apicoplast
PF3D7_0313900,apicoplast,Apicoplast
PF3D7_0314000,"cytosol,nucleus","Cytoplasm & Cytosol (internal),Nucleus (internal)"
PF3D7_0314100,"ER to Golgi transport vesicle membrane,Golgi apparatus,SNARE complex,endoplasmic reticulum membrane,late endosome membrane","Endomembrane System & Golgi ER,Intracellular protein complexes (internal),Vesicles & Endosomes"
PF3D7_0314200,apicoplast,Apicoplast
PF3D7_0314300,"apicoplast,endoplasmic reticulum membrane","Apicoplast,Endomembrane System & Golgi ER"
PF3D7_0314400,cytoplasm,Cytoplasm & Cytosol (internal)
PF3D7_0314500,unknown,Unknown
PF3D7_0314600,unknown,Unknown
PF3D7_0314700,unknown,Unknown
PF3D7_0314800,unknown,Unknown
PF3D7_0314900,unknown,Unknown
PF3D7_0315000,unknown,Unknown
